"","age","Mspline","Sspline","Lspline"
"1",6,-0.388848890395896,-1.2185761165579,0
"2",6.25,-0.338807872678766,-1.04495871685832,0
"3",6.5,-0.291071099151917,-0.878786691710996,0
"4",6.75,-0.246627971422145,-0.721715081197436,0
"5",7,-0.205903233421773,-0.574880382579086,0
"6",7.25,-0.168928974074496,-0.438974280346758,0
"7",7.5,-0.135638780529591,-0.315171861755393,0
"8",7.75,-0.105701028846548,-0.204156855193208,0
"9",8,-0.0787003382648024,-0.106094891312117,0
"10",8.25,-0.0542747208108887,-0.0210367152116295,0
"11",8.5,-0.0321087819706083,0.0510542154674474,0
"12",8.75,-0.0119269044077051,0.110282661867739,0
"13",9,0.0064735269679348,0.157096741803788,0
"14",9.25,0.0231097276384942,0.193024964334958,0
"15",9.5,0.0379947297844137,0.219196467290187,0
"16",9.75,0.0511279839648227,0.236705497480337,0
"17",10,0.0625081373936016,0.246564265473069,0
"18",10.25,0.0720897507870104,0.249882629739663,0
"19",10.5,0.0798366218728788,0.247660965500066,0
"20",10.75,0.0857269160203344,0.240775388917961,0
"21",11,0.0897636470449639,0.230029295387287,0
"22",11.25,0.0920318394784339,0.216266817902331,0
"23",11.5,0.0926361549600321,0.200277350407395,0
"24",11.75,0.0916730358142477,0.182758803562167,0
"25",12,0.0892324563824873,0.164328120863708,0
"26",12.25,0.0854119314091779,0.145511289881704,0
"27",12.5,0.080395251874589,0.126639688162826,0
"28",12.75,0.0743900931137453,0.107947100317374,0
"29",13,0.0675831228151429,0.0896407678579705,0
"30",13.25,0.0601423651029238,0.0719040761123235,0
"31",13.5,0.0522191608523785,0.0548996177048544,0
"32",13.75,0.0439472983326947,0.0387377359447016,0
"33",14,0.035440656033713,0.0234278127458047,0
"34",14.25,0.0268004563068258,0.00895753006587063,0
"35",14.5,0.0181178592222935,-0.00468617057821663,0
"36",14.75,0.00947620627934942,-0.0175087567945611,0
"37",15,0.000949662787535388,-0.0295231876554574,0
"38",15.25,-0.00740092940923187,-0.0407835582267093,0
"39",15.5,-0.0155264156899717,-0.0513785430279781,0
"40",15.75,-0.0233983814727576,-0.0614976667203158,0
"41",16,-0.0309898484399147,-0.0713030497294951,0
"42",16.25,-0.0382764767222996,-0.0809399211793587,0
"43",16.5,-0.0452368172768249,-0.0905427496667159,0
"44",16.75,-0.0518513432133911,-0.100234307695448,0
"45",17,-0.0581052506405975,-0.110119753310136,0
"46",17.25,-0.0640144132713498,-0.120219454007305,0
"47",17.5,-0.0696183716273424,-0.130487283956207,0
"48",17.75,-0.0749544488674676,-0.140878958316501,0
"49",18,-0.0800572539829068,-0.151353630202543,0
