"","age","Mspline","Sspline","Lspline"
"1",6,-0.326942839046616,-1.75028418101242e-05,0
"2",6.25,-0.285972570570834,-1.57930522406424e-05,0
"3",6.5,-0.24680554611436,-1.41517948013536e-05,0
"4",6.75,-0.209975354166225,-1.25790513259005e-05,0
"5",7,-0.175706706626791,-1.1074461603755e-05,0
"6",7.25,-0.143999369258757,-9.63703045453457e-06,0
"7",7.5,-0.114753799722294,-8.26626428773736e-06,0
"8",7.75,-0.0878617717314016,-6.96297377267285e-06,0
"9",8,-0.0632364251931437,-5.72807859899882e-06,0
"10",8.25,-0.0407921295285316,-4.56192832398727e-06,0
"11",8.5,-0.0204449525239507,-3.46441711807088e-06,0
"12",8.75,-0.00211313324838436,-2.43508172204088e-06,0
"13",9,0.0142689128952584,-1.47398828609369e-06,0
"14",9.25,0.0287131348787639,-5.83822791000443e-07,0
"15",9.5,0.041249472139647,2.3415060246279e-07,0
"16",9.75,0.0519132156947761,9.78872977785983e-07,0
"17",10,0.0607431032550516,1.6496191186377e-06,0
"18",10.25,0.0677847240487641,2.24531850889775e-06,0
"19",10.5,0.0730846875737656,2.76527956621919e-06,0
"20",10.75,0.0766897638040542,3.20922616525721e-06,0
"21",11,0.0786680443266312,3.57739436607218e-06,0
"22",11.25,0.079190843964291,3.87125567979929e-06,0
"23",11.5,0.0784469262450807,4.09266581047341e-06,0
"24",11.75,0.0766051583675038,4.24347225624899e-06,0
"25",12,0.0738172018430863,4.32552302531697e-06,0
"26",12.25,0.0702179177423052,4.34093671253244e-06,0
"27",12.5,0.0659187699157631,4.2937178070801e-06,0
"28",12.75,0.0610159202684146,4.18844725391665e-06,0
"29",13,0.0555962978146671,4.02933820242701e-06,0
"30",13.25,0.0497385300659192,3.82027364875803e-06,0
"31",13.5,0.0435139034190049,3.56482932928337e-06,0
"32",13.75,0.0369784560711652,3.2668290261828e-06,0
"33",14,0.0301606318652947,2.93116302985119e-06,0
"34",14.25,0.0230817325329937,2.56259712250184e-06,0
"35",14.5,0.0157618022450037,2.16547114573196e-06,0
"36",14.75,0.00821873935209094,1.7437499231221e-06,0
"37",15,0.000469681683484602,1.3010618211684e-06,0
"38",15.25,-0.00746616686661516,8.40743418661916e-07,0
"39",15.5,-0.0155679573912102,3.65864273765837e-07,0
"40",15.75,-0.0238077638518561,-1.20720596630264e-07,0
"41",16,-0.0321608337000652,-6.16401560460389e-07,0
"42",16.25,-0.0406046244853897,-1.11879105491042e-06,0
"43",16.5,-0.0491182834169051,-1.6257012425136e-06,0
"44",16.75,-0.0576827563193936,-2.13512454205755e-06,0
"45",17,-0.0662802765720336,-2.64525227522405e-06,0
"46",17.25,-0.0748914059307353,-3.15476836099116e-06,0
"47",17.5,-0.0834956734342178,-3.66275669261285e-06,0
"48",17.75,-0.092074226473903,-4.16838595973523e-06,0
"49",18,-0.100609772504539,-4.67089497657724e-06,0
