"","age","Mspline","Sspline","Lspline"
"1",6,-0.557900817145123,-1.36613004010952,0
"2",6.25,-0.506560450180698,-1.21544938661738,0
"3",6.5,-0.457097568665763,-1.07127589755411,0
"4",6.75,-0.408912082181438,-0.93515821990184,0
"5",7,-0.36171510108482,-0.807742465232015,0
"6",7.25,-0.315425447316342,-0.689003327557249,0
"7",7.5,-0.270095988636121,-0.578556870356653,0
"8",7.75,-0.225995164744959,-0.47584345490123,0
"9",8,-0.183427661045055,-0.380335000646133,0
"10",8.25,-0.142636534696681,-0.291551532565141,0
"11",8.5,-0.103813323775902,-0.209055812988814,0
"12",8.75,-0.0671071304505508,-0.132448542388011,0
"13",9,-0.0326631813815474,-0.0615470792710806,0
"14",9.25,-0.000690070717895175,0.00306837766248758,0
"15",9.5,0.028690997425179,0.0610439490079366,0
"16",9.75,0.0553562026136563,0.11221412899718,0
"17",10,0.0791974286602395,0.156511548143044,0
"18",10.25,0.100048627307262,0.194219913267895,0
"19",10.5,0.11777165938798,0.225632758700497,0
"20",10.75,0.13226312880813,0.25101294362559,0
"21",11,0.143481794061022,0.270644384851526,0
"22",11.25,0.1515864094154,0.284962180224641,0
"23",11.5,0.156785123852811,0.294418096745046,0
"24",11.75,0.159268429014845,0.299422435610887,0
"25",12,0.159212508289023,0.300349092473159,0
"26",12.25,0.156796060272077,0.29753668893909,0
"27",12.5,0.152291894977283,0.291277367551778,0
"28",12.75,0.145995381526704,0.281831354757264,0
"29",13,0.138173055839775,0.269437941708428,0
"30",13.25,0.129065787725819,0.254317414504878,0
"31",13.5,0.118891625507255,0.236672715851578,0
"32",13.75,0.107831131010602,0.216697587355134,0
"33",14,0.0960039085549571,0.19458785843936,0
"34",14.25,0.0835094096322866,0.170527607182803,0
"35",14.5,0.0704388986511475,0.144686375083623,0
"36",14.75,0.056875681674013,0.117219955307091,0
"37",15,0.0428959372952731,0.088272650641212,0
"38",15.25,0.0285694764325788,0.0579808130837723,0
"39",15.5,0.0139603001015951,0.0264732962906211,0
"40",15.75,-0.000872650603907843,-0.00612277390802918,0
"41",16,-0.015875460364259,-0.0396908130195409,0
"42",16.25,-0.0309987856245248,-0.0741231226445496,0
"43",16.5,-0.0461974388402515,-0.109320016115147,0
"44",16.75,-0.0614300219415007,-0.14518978117106,0
"45",17,-0.0766588257638112,-0.181644215235029,0
"46",17.25,-0.0918515244885052,-0.218563887371128,0
"47",17.5,-0.106980396496261,-0.255806550535481,0
"48",17.75,-0.122020125505982,-0.293240375900524,0
"49",18,-0.136947555214791,-0.330743998654111,0
